City, City_Code, NUTS 2, Country,Year,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Amsterdam,NL002C1,NL32,NL,2012,81.2,433.37,9.6
Amsterdam,NL002C1,NL32,NL,2013,81.5,444.45,9.5
Amsterdam,NL002C1,NL32,NL,2014,81.8,459.83,11.7
Amsterdam,NL002C1,NL32,NL,2015,81.6,468.24,9.9
Amsterdam,NL002C1,NL32,NL,2016,81.6,473.12,10.2
Amsterdam,NL002C1,NL32,NL,2017,82,477.75,8.5
Amsterdam,NL002C1,NL32,NL,2018,82.1,482.64,7.4
Amsterdam,NL002C1,NL32,NL,2019,NaN,NaN,7.9
Ankara,TR001C1,TR51,TR,2012,78.8,309.69,47.8
Ankara,TR001C1,TR51,TR,2013,79.3,322.28,47.3
Ankara,TR001C1,TR51,TR,2014,79.4,316.11,44.5
Ankara,TR001C1,TR51,TR,2015,79.3,318.5,46.3
Ankara,TR001C1,TR51,TR,2016,79.2,312.65,44.6
Ankara,TR001C1,TR51,TR,2017,79.4,313.86,43.4
Ankara,TR001C1,TR51,TR,2018,79.6,305.2,43.5
Ankara,TR001C1,TR51,TR,2019,NaN,NaN,40.8
Antwerp,BE002C1,BE2,BE,2012,81.1,243.72,13.1
Antwerp,BE002C1,BE2,BE,2013,81.5,246.03,11.3
Antwerp,BE002C1,BE2,BE,2014,82.2,248.37,10.6
Antwerp,BE002C1,BE2,BE,2015,82,252.22,8.4
Antwerp,BE002C1,BE2,BE,2016,82.4,260.59,11
Antwerp,BE002C1,BE2,BE,2017,82.4,263.1,11.7
Antwerp,BE002C1,BE2,BE,2018,82.5,267.44,9.7
Antwerp,BE002C1,BE2,BE,2019,NaN,NaN,10.2
Athens,EL001C1,EL30,EL,2012,80.6,742.9,15.7
Athens,EL001C1,EL30,EL,2013,81.1,746.6,16.1
Athens,EL001C1,EL30,EL,2014,81.1,753.88,15.5
Athens,EL001C1,EL30,EL,2015,80.7,753.96,15.1
Athens,EL001C1,EL30,EL,2016,81,807.88,16.4
Athens,EL001C1,EL30,EL,2017,80.9,791.92,17
Athens,EL001C1,EL30,EL,2018,81.3,791.98,20.1
Athens,EL001C1,EL30,EL,2019,NaN,NaN,17.8
Barcelona,ES002C1,ES51,ES,2012,82.8,396.55,7.4
Barcelona,ES002C1,ES51,ES,2013,83.4,421.15,7.1
Barcelona,ES002C1,ES51,ES,2014,83.6,399.62,6.9
Barcelona,ES002C1,ES51,ES,2015,83.4,358.91,9.4
Barcelona,ES002C1,ES51,ES,2016,83.9,326.11,9.4
Barcelona,ES002C1,ES51,ES,2017,83.6,350.72,9.2
Barcelona,ES002C1,ES51,ES,2018,83.7,408.41,9.4
Barcelona,ES002C1,ES51,ES,2019,NaN,NaN,8.3
Belfast,UK012C1,UKN0,UK,2012,80.4,NaN,8.5
Belfast,UK012C1,UKN0,UK,2013,80.4,NaN,9.1
Belfast,UK012C1,UKN0,UK,2014,80.8,NaN,9.2
Belfast,UK012C1,UKN0,UK,2015,80.4,NaN,11.7
Belfast,UK012C1,UKN0,UK,2016,80.8,NaN,9.4
Belfast,UK012C1,UKN0,UK,2017,80.6,NaN,8
Belfast,UK012C1,UKN0,UK,2018,80.9,NaN,7.7
Belfast,UK012C1,UKN0,UK,2019,NaN,NaN,8.6
Belgrade, -,RS11,RS,2012,NaN,309.97,NaN
Belgrade, -,RS11,RS,2013,NaN,310.55,NaN
Belgrade, -,RS11,RS,2014,NaN,307.13,NaN
Belgrade, -,RS11,RS,2015,NaN,307.81,NaN
Belgrade, -,RS11,RS,2016,NaN,295.44,NaN
Belgrade, -,RS11,RS,2017,76.8,295.88,NaN
Belgrade, -,RS11,RS,2018,77,298.23,NaN
Belgrade, -,RS11,RS,2019,NaN,NaN,NaN
Bergen,NO002C1,NO05,NO,2012,82.2,412.86,4.9
Bergen,NO002C1,NO05,NO,2013,82.4,420.51,5.1
Bergen,NO002C1,NO05,NO,2014,82.8,432.89,6.2
Bergen,NO002C1,NO05,NO,2015,83.1,433.68,5.7
Bergen,NO002C1,NO05,NO,2016,82.7,446.39,2.5
Bergen,NO002C1,NO05,NO,2017,83.4,463.55,1.3
Bergen,NO002C1,NO05,NO,2018,83.4,479.87,2
Bergen,NO002C1,NO05,NO,2019,NaN,NaN,2.9
Berlin,DE001C1,DE30,DE,2012,80.5,485.05,6.2
Berlin,DE001C1,DE30,DE,2013,80.5,479.59,5.4
Berlin,DE001C1,DE30,DE,2014,80.9,492.04,4.8
Berlin,DE001C1,DE30,DE,2015,80.5,524.73,5.3
Berlin,DE001C1,DE30,DE,2016,80.9,529.14,6
Berlin,DE001C1,DE30,DE,2017,81.2,534.53,6.9
Berlin,DE001C1,DE30,DE,2018,80.8,542.38,6.5
Berlin,DE001C1,DE30,DE,2019,NaN,NaN,6.9
Birmingham,UK002C1,UKG3,UK,2012,80.9,NaN,12.7
Birmingham,UK002C1,UKG3,UK,2013,80.8,NaN,13.4
Birmingham,UK002C1,UKG3,UK,2014,81,NaN,12.8
Birmingham,UK002C1,UKG3,UK,2015,80.7,NaN,13.1
Birmingham,UK002C1,UKG3,UK,2016,80.9,NaN,16.4
Birmingham,UK002C1,UKG3,UK,2017,81,NaN,13
Birmingham,UK002C1,UKG3,UK,2018,80.8,NaN,13.5
Birmingham,UK002C1,UKG3,UK,2019,NaN,NaN,12.5
Bologna,IT009C1,ITH5,IT,2012,82.9,407.58,13.7
Bologna,IT009C1,ITH5,IT,2013,83.4,410.05,14.4
Bologna,IT009C1,ITH5,IT,2014,83.7,410.89,15.6
Bologna,IT009C1,ITH5,IT,2015,83.2,405.48,15.4
Bologna,IT009C1,ITH5,IT,2016,83.7,419.09,13.7
Bologna,IT009C1,ITH5,IT,2017,83.6,422.31,14.2
Bologna,IT009C1,ITH5,IT,2018,83.9,419.09,15.2
Bologna,IT009C1,ITH5,IT,2019,NaN,NaN,13.8
Brasov,RO504C1,RO12,RO,2012,75,265.34,17.7
Brasov,RO504C1,RO12,RO,2013,75.7,277.56,17.5
Brasov,RO504C1,RO12,RO,2014,75.5,277.63,17.8
Brasov,RO504C1,RO12,RO,2015,75.5,284.48,19.3
Brasov,RO504C1,RO12,RO,2016,75.8,295.66,18.8
Brasov,RO504C1,RO12,RO,2017,75.9,301.5,19
Brasov,RO504C1,RO12,RO,2018,75.8,312.62,22.1
Brasov,RO504C1,RO12,RO,2019,NaN,NaN,20.4
Bratislava,SK001C1,SK01,SK,2012,78,681.26,11.2
Bratislava,SK001C1,SK01,SK,2013,78.1,686.72,12
Bratislava,SK001C1,SK01,SK,2014,78.7,678.22,14
Bratislava,SK001C1,SK01,SK,2015,78.5,666.37,11.8
Bratislava,SK001C1,SK01,SK,2016,78.9,655.75,10.7
Bratislava,SK001C1,SK01,SK,2017,78.6,635.4,6.8
Bratislava,SK001C1,SK01,SK,2018,78.8,643.6,9.7
Bratislava,SK001C1,SK01,SK,2019,NaN,NaN,11
Bristol,UK011C1,UKK1,UK,2012,82.2,NaN,12.4
Bristol,UK011C1,UKK1,UK,2013,81.7,NaN,10.3
Bristol,UK011C1,UKK1,UK,2014,82.5,NaN,10.9
Bristol,UK011C1,UKK1,UK,2015,82,NaN,10.8
Bristol,UK011C1,UKK1,UK,2016,82,NaN,9.5
Bristol,UK011C1,UKK1,UK,2017,82.3,NaN,10.1
Bristol,UK011C1,UKK1,UK,2018,82.3,NaN,8
Bristol,UK011C1,UKK1,UK,2019,NaN,NaN,8.8
Brno,CZ002C1,CZ06,CZ,2012,77,343.75,17.4
Brno,CZ002C1,CZ06,CZ,2013,77.1,343.31,17.1
Brno,CZ002C1,CZ06,CZ,2014,77.6,NaN,17.2
Brno,CZ002C1,CZ06,CZ,2015,77.5,NaN,16.9
Brno,CZ002C1,CZ06,CZ,2016,78,NaN,16.7
Brno,CZ002C1,CZ06,CZ,2017,77.8,NaN,15.4
Brno,CZ002C1,CZ06,CZ,2018,78,377.85,15.2
Brno,CZ002C1,CZ06,CZ,2019,NaN,NaN,16.5
Brussels,BE001C1,BE1,BE,2012,80.1,372.54,12
Brussels,BE001C1,BE1,BE,2013,80.6,374.34,8.9
Brussels,BE001C1,BE1,BE,2014,81.1,375.33,10.1
Brussels,BE001C1,BE1,BE,2015,80.9,379.23,11.1
Brussels,BE001C1,BE1,BE,2016,81.3,381.86,11
Brussels,BE001C1,BE1,BE,2017,81.2,382.69,12.4
Brussels,BE001C1,BE1,BE,2018,81.5,388.06,9.7
Brussels,BE001C1,BE1,BE,2019,NaN,NaN,11.4
Bucharest,RO001C1,RO32,RO,2012,76,265.34,14.1
Bucharest,RO001C1,RO32,RO,2013,76.6,277.56,13
Bucharest,RO001C1,RO32,RO,2014,76.7,277.63,15.1
Bucharest,RO001C1,RO32,RO,2015,76.7,284.48,14.2
Bucharest,RO001C1,RO32,RO,2016,76.7,295.66,12.4
Bucharest,RO001C1,RO32,RO,2017,76.7,301.5,12.6
Bucharest,RO001C1,RO32,RO,2018,76.9,312.62,13.5
Bucharest,RO001C1,RO32,RO,2019,NaN,NaN,12.8
Budapest,HU001C1,HU11,HU,2012,77.5,:,NaN
Budapest,HU001C1,HU11,HU,2013,77.9,:,12.1
Budapest,HU001C1,HU11,HU,2014,78.3,527.71,14.1
Budapest,HU001C1,HU11,HU,2015,77.8,508.95,15.3
Budapest,HU001C1,HU11,HU,2016,78.3,484.67,12.8
Budapest,HU001C1,HU11,HU,2017,78.2,541.74,14.9
Budapest,HU001C1,HU11,HU,2018,78.4,553.11,13.9
Budapest,HU001C1,HU11,HU,2019,NaN,NaN,14.9
Bursa,TR005C1,TR41,TR,2012,77.2,162.86,46
Bursa,TR005C1,TR41,TR,2013,77.6,164.76,43.6
Bursa,TR005C1,TR41,TR,2014,77.6,165.65,45.7
Bursa,TR005C1,TR41,TR,2015,77.6,168.79,44.1
Bursa,TR005C1,TR41,TR,2016,77.6,167.29,44.2
Bursa,TR005C1,TR41,TR,2017,78.1,168.79,42.1
Bursa,TR005C1,TR41,TR,2018,78.4,175.67,39.7
Bursa,TR005C1,TR41,TR,2019,NaN,NaN,39
Cambridge,UK017C1,UKH1,UK,2012,82.1,NaN,10.1
Cambridge,UK017C1,UKH1,UK,2013,82.2,NaN,11.2
Cambridge,UK017C1,UKH1,UK,2014,82.3,NaN,10.5
Cambridge,UK017C1,UKH1,UK,2015,82.1,NaN,9.5
Cambridge,UK017C1,UKH1,UK,2016,82.2,NaN,10.1
Cambridge,UK017C1,UKH1,UK,2017,82.2,NaN,9.4
Cambridge,UK017C1,UKH1,UK,2018,82.2,NaN,8.3
Cambridge,UK017C1,UKH1,UK,2019,NaN,NaN,9.6
Cluj-Napoca,RO002C1,RO11,RO,2012,75,350.04,13.8
Cluj-Napoca,RO002C1,RO11,RO,2013,75.7,345.97,14.6
Cluj-Napoca,RO002C1,RO11,RO,2014,75.5,351.33,15.3
Cluj-Napoca,RO002C1,RO11,RO,2015,75.5,360.55,17.2
Cluj-Napoca,RO002C1,RO11,RO,2016,75.8,369.99,17.4
Cluj-Napoca,RO002C1,RO11,RO,2017,75.9,385.74,17.2
Cluj-Napoca,RO002C1,RO11,RO,2018,75.8,399.38,17.5
Cluj-Napoca,RO002C1,RO11,RO,2019,NaN,NaN,17.6
Cologne,DE004C1,DEA2,DE,2012,80.7,397.82,11.8
Cologne,DE004C1,DEA2,DE,2013,80.7,407.18,10.9
Cologne,DE004C1,DEA2,DE,2014,81.2,414.97,10.7
Cologne,DE004C1,DEA2,DE,2015,80.8,417.28,10
Cologne,DE004C1,DEA2,DE,2016,81.2,422.1,8.9
Cologne,DE004C1,DEA2,DE,2017,81.2,429.17,8.7
Cologne,DE004C1,DEA2,DE,2018,80.9,438.63,8.7
Cologne,DE004C1,DEA2,DE,2019,NaN,NaN,8
Constanta,RO501C1,RO22,RO,2012,73.8,204.59,9.8
Constanta,RO501C1,RO22,RO,2013,74.5,209.24,10.1
Constanta,RO501C1,RO22,RO,2014,74.2,212.35,9.7
Constanta,RO501C1,RO22,RO,2015,74.7,209.64,13
Constanta,RO501C1,RO22,RO,2016,74.4,221.42,13.9
Constanta,RO501C1,RO22,RO,2017,74.6,234.52,14
Constanta,RO501C1,RO22,RO,2018,74.5,244.03,15.1
Constanta,RO501C1,RO22,RO,2019,NaN,NaN,16.2
Copenhagen,DK001C1,DK01,DK,2012,80,453.25,4.9
Copenhagen,DK001C1,DK01,DK,2013,80.2,456.07,5.1
Copenhagen,DK001C1,DK01,DK,2014,80.7,458.39,6.3
Copenhagen,DK001C1,DK01,DK,2015,80.6,463.27,6.7
Copenhagen,DK001C1,DK01,DK,2016,80.8,472.39,5.3
Copenhagen,DK001C1,DK01,DK,2017,81,478.39,5.1
Copenhagen,DK001C1,DK01,DK,2018,81.1,489.91,5.3
Copenhagen,DK001C1,DK01,DK,2019,NaN,NaN,5.6
Cork,IE002C1,IE05,IE,2012,NaN,NaN,9.1
Cork,IE002C1,IE05,IE,2013,80.5,NaN,10.1
Cork,IE002C1,IE05,IE,2014,80.8,NaN,11.2
Cork,IE002C1,IE05,IE,2015,81,NaN,12.4
Cork,IE002C1,IE05,IE,2016,80.9,NaN,12.4
Cork,IE002C1,IE05,IE,2017,81.8,NaN,12.9
Cork,IE002C1,IE05,IE,2018,81.8,NaN,13
Cork,IE002C1,IE05,IE,2019,NaN,NaN,12.5
Dublin,IE001C1,IE06,IE,2012,NaN,NaN,8.8
Dublin,IE001C1,IE06,IE,2013,81.3,NaN,10.6
Dublin,IE001C1,IE06,IE,2014,81.8,NaN,12.3
Dublin,IE001C1,IE06,IE,2015,81.7,NaN,12.5
Dublin,IE001C1,IE06,IE,2016,82.2,NaN,12.2
Dublin,IE001C1,IE06,IE,2017,82.4,NaN,11.9
Dublin,IE001C1,IE06,IE,2018,82.6,NaN,12.5
Dublin,IE001C1,IE06,IE,2019,NaN,NaN,12.3
Dusseldorf,DE011C1,DEA1,DE,2012,80.1,397.82,12.8
Dusseldorf,DE011C1,DEA1,DE,2013,79.9,407.18,11.9
Dusseldorf,DE011C1,DEA1,DE,2014,80.5,414.97,11.5
Dusseldorf,DE011C1,DEA1,DE,2015,80.1,417.28,10.8
Dusseldorf,DE011C1,DEA1,DE,2016,80.4,422.1,10.3
Dusseldorf,DE011C1,DEA1,DE,2017,80.5,429.17,9.8
Dusseldorf,DE011C1,DEA1,DE,2018,80.3,438.63,10.2
Dusseldorf,DE011C1,DEA1,DE,2019,NaN,NaN,10.9
Edinburgh,UK007C1,UKM7,UK,2012,NaN,NaN,11.8
Edinburgh,UK007C1,UKM7,UK,2013,NaN,NaN,8
Edinburgh,UK007C1,UKM7,UK,2014,NaN,NaN,7.1
Edinburgh,UK007C1,UKM7,UK,2015,NaN,NaN,7.1
Edinburgh,UK007C1,UKM7,UK,2016,NaN,NaN,8
Edinburgh,UK007C1,UKM7,UK,2017,79.8,NaN,7.4
Edinburgh,UK007C1,UKM7,UK,2018,79.9,NaN,7.7
Edinburgh,UK007C1,UKM7,UK,2019,NaN,NaN,7
Eindhoven,NL005C1,NL41,NL,2012,81.3,225.75,12
Eindhoven,NL005C1,NL41,NL,2013,81.5,229.97,10.9
Eindhoven,NL005C1,NL41,NL,2014,81.7,240.22,12
Eindhoven,NL005C1,NL41,NL,2015,81.5,246.02,12.3
Eindhoven,NL005C1,NL41,NL,2016,81.6,249.08,11.9
Eindhoven,NL005C1,NL41,NL,2017,81.7,254.88,10.6
Eindhoven,NL005C1,NL41,NL,2018,81.9,259.01,10.8
Eindhoven,NL005C1,NL41,NL,2019,NaN,NaN,9.9
Frankfurt,DE005C1,DE71,DE,2012,81.4,382.41,11.4
Frankfurt,DE005C1,DE71,DE,2013,81.2,386.74,10.6
Frankfurt,DE005C1,DE71,DE,2014,81.9,391.39,11.1
Frankfurt,DE005C1,DE71,DE,2015,81.3,395.61,10.3
Frankfurt,DE005C1,DE71,DE,2016,81.9,399.02,10.8
Frankfurt,DE005C1,DE71,DE,2017,81.8,406.06,9.3
Frankfurt,DE005C1,DE71,DE,2018,81.8,413.51,9.4
Frankfurt,DE005C1,DE71,DE,2019,NaN,NaN,9.8
Gdansk,PL006C1,PL63,PL,2012,77.3,199.09,16.2
Gdansk,PL006C1,PL63,PL,2013,77.9,200.03,16
Gdansk,PL006C1,PL63,PL,2014,78.2,216.69,16.1
Gdansk,PL006C1,PL63,PL,2015,78,226.09,16.1
Gdansk,PL006C1,PL63,PL,2016,78.3,237.83,16.8
Gdansk,PL006C1,PL63,PL,2017,78.4,238.04,16.7
Gdansk,PL006C1,PL63,PL,2018,78.2,NaN,17.8
Gdansk,PL006C1,PL63,PL,2019,NaN,NaN,18.8
Geneva,CH002C1,CH01,CH,2012,83.2,458.4,10.4
Geneva,CH002C1,CH01,CH,2013,83.2,470.8,11.1
Geneva,CH002C1,CH01,CH,2014,83.9,475.55,10.6
Geneva,CH002C1,CH01,CH,2015,83.4,483.5,10.5
Geneva,CH002C1,CH01,CH,2016,84.2,485.2,9
Geneva,CH002C1,CH01,CH,2017,83.9,489.12,8.6
Geneva,CH002C1,CH01,CH,2018,84.2,494.5,9.1
Geneva,CH002C1,CH01,CH,2019,NaN,NaN,8.3
Gent,BE003C1,BE23,BE,2012,80.9,266.82,10.7
Gent,BE003C1,BE23,BE,2013,81.1,269.12,9.8
Gent,BE003C1,BE23,BE,2014,82.1,271.85,9
Gent,BE003C1,BE23,BE,2015,81.5,276,6.3
Gent,BE003C1,BE23,BE,2016,82.2,280.96,8.1
Gent,BE003C1,BE23,BE,2017,82.2,281.62,10.3
Gent,BE003C1,BE23,BE,2018,82.3,288.7,7.4
Gent,BE003C1,BE23,BE,2019,NaN,NaN,7
Glasgow,UK004C1,UKM3,UK,2012,NaN,NaN,11.8
Glasgow,UK004C1,UKM3,UK,2013,NaN,NaN,8
Glasgow,UK004C1,UKM3,UK,2014,NaN,NaN,7.1
Glasgow,UK004C1,UKM3,UK,2015,NaN,NaN,7.1
Glasgow,UK004C1,UKM3,UK,2016,NaN,NaN,8
Glasgow,UK004C1,UKM3,UK,2017,79.5,NaN,7.4
Glasgow,UK004C1,UKM3,UK,2018,79.2,NaN,7.7
Glasgow,UK004C1,UKM3,UK,2019,NaN,NaN,7
Gothenburg,SE002C1,SE23,SE,2012,81.9,401.94,6.5
Gothenburg,SE002C1,SE23,SE,2013,82.1,404.54,5
Gothenburg,SE002C1,SE23,SE,2014,82.4,409.84,3.8
Gothenburg,SE002C1,SE23,SE,2015,82.4,421.43,3.7
Gothenburg,SE002C1,SE23,SE,2016,82.5,430.12,3.3
Gothenburg,SE002C1,SE23,SE,2017,82.5,431.79,4.6
Gothenburg,SE002C1,SE23,SE,2018,82.6,NaN,4.4
Gothenburg,SE002C1,SE23,SE,2019,NaN,NaN,5.9
Hamburg,DE002C1,DE60,DE,2012,80.7,588.1,8.4
Hamburg,DE002C1,DE60,DE,2013,80.7,597.54,7.1
Hamburg,DE002C1,DE60,DE,2014,81.2,604.25,8.4
Hamburg,DE002C1,DE60,DE,2015,80.9,611.85,6.9
Hamburg,DE002C1,DE60,DE,2016,81.2,614.42,7.1
Hamburg,DE002C1,DE60,DE,2017,81.1,622.08,8
Hamburg,DE002C1,DE60,DE,2018,81.1,629.07,7.3
Hamburg,DE002C1,DE60,DE,2019,NaN,NaN,6.2
Iasi,RO502C1,RO21,RO,2012,73.8,204.59,9.8
Iasi,RO502C1,RO21,RO,2013,74.6,209.24,10.1
Iasi,RO502C1,RO21,RO,2014,74.3,212.35,9.7
Iasi,RO502C1,RO21,RO,2015,74.3,209.64,13
Iasi,RO502C1,RO21,RO,2016,74.6,221.42,13.9
Iasi,RO502C1,RO21,RO,2017,74.4,234.52,14
Iasi,RO502C1,RO21,RO,2018,74.1,244.03,15.1
Iasi,RO502C1,RO21,RO,2019,NaN,NaN,16.2
Istanbul,TR012C1,TR10,TR,2012,78.3,193.51,47.2
Istanbul,TR012C1,TR10,TR,2013,78.8,186.28,45.9
Istanbul,TR012C1,TR10,TR,2014,78.5,190.05,44.7
Istanbul,TR012C1,TR10,TR,2015,78.5,198.36,44
Istanbul,TR012C1,TR10,TR,2016,78.5,216.45,42.6
Istanbul,TR012C1,TR10,TR,2017,78.9,205.78,41.6
Istanbul,TR012C1,TR10,TR,2018,79.4,219.64,40.5
Istanbul,TR012C1,TR10,TR,2019,NaN,NaN,40.6
Izmir,TR013C1,TR31,TR,2012,77.8,227.53,42.1
Izmir,TR013C1,TR31,TR,2013,79,241.59,39.4
Izmir,TR013C1,TR31,TR,2014,78.7,241.49,40.2
Izmir,TR013C1,TR31,TR,2015,78.7,241.41,39.2
Izmir,TR013C1,TR31,TR,2016,78.5,233.87,38.8
Izmir,TR013C1,TR31,TR,2017,78.8,256.37,38.7
Izmir,TR013C1,TR31,TR,2018,79.2,256.9,38.1
Izmir,TR013C1,TR31,TR,2019,NaN,NaN,36
Kaunas,LT002C1,LT02,LT,2012,74.2,551.78,1.2
Kaunas,LT002C1,LT02,LT,2013,74.3,552.59,3.8
Kaunas,LT002C1,LT02,LT,2014,74.8,561.72,3.4
Kaunas,LT002C1,LT02,LT,2015,75,559.74,2.9
Kaunas,LT002C1,LT02,LT,2016,75.3,575.58,1.8
Kaunas,LT002C1,LT02,LT,2017,76.3,586.39,2
Kaunas,LT002C1,LT02,LT,2018,76.3,594.09,3
Kaunas,LT002C1,LT02,LT,2019,NaN,NaN,1.7
Krakow (Cracow),PL003C1,PL2,PL,2012,78.1,233.4,14
Krakow (Cracow),PL003C1,PL2,PL,2013,78.5,234.36,15.1
Krakow (Cracow),PL003C1,PL2,PL,2014,79.1,228.77,13.5
